"id","school_year","district_name","enrollment_grades_k_12","total_susp","iss_b","oss_b","iss_w","oss_w","h","a","m","p","i","b_disp","w_disp","h_disp","a_disp","m_disp","p_disp","i_disp"
"102",2008,"KNOB NOSTER R-VIII",1473,117,7,,99,11,,,,,,0.677565796478594,1.14738948031601,,,,,
"103",2008,"LEETON R-X",334,266,,,215,51,,,,,,,1.03723680116171,,,,,
"104",2008,"LEBANON R-III",4593,1123,12,,878,233,,,,,,0.731894753534442,1.04479283620065,,,,,
"105",2008,"LACLEDE CO. C-5",465,16,,,16,,,,,,,,1.01533150573662,,,,,
"106",2008,"CONCORDIA R-II",480,187,,,181,6,,,,,,,1.02564102564103,,,,,
"107",2008,"ODESSA R-VII",2158,607,7,,498,102,,,,,,0.729881342147519,1.0280477116943,,,,,
"108",2008,"LEXINGTON R-V",951,245,41,,172,21,11,,,,,2.52789937727357,0.887611382581201,1.29388931365053,,,,
"109",2008,"MARIONVILLE R-IX",744,666,,,633,19,,7,,,7,,1.04047080346368,,0.973195417639862,,,0.784366456008247
"110",2008,"CANTON R-V",537,249,8,,235,6,,,,,,1.07813805557802,1.0014190232217,,,,,
"111",2008,"LEWIS CO. C-1",1041,252,16,,230,6,,,,,,1.11978947957784,1.00613229104849,,,,,
"112",2008,"ELSBERRY R-II",853,276,23,,238,7,,,,,8,1.5460729746444,0.973227891042967,,,,,
"113",2008,"TROY R-III",5947,1371,56,6,919,390,,,,,,1.05168524078503,1.02675291391144,,,,,
"114",2008,"WINFIELD R-IV",1633,1702,15,,1270,396,,,,,21,0.47897614060185,1.01814896362703,,,,,3.98013721996892
"115",2008,"LINN CO. R-I",281,14,,,14,,,,,,,,1.02553584247769,,,,,
"116",2008,"MEADVILLE R-IV",240,22,,,22,,,,,,,,1.00421771440048,,,,,
"117",2008,"MARCELINE R-V",676,135,,,135,,,,,,,,1.03359173126615,,,,,
"118",2008,"BROOKFIELD R-III",1087,169,,,169,,,,,,,,1.05130361648444,,,,,
"119",2008,"SOUTHWEST LIVINGSTON CO. R-I",203,31,,,31,,,,,,,,1.01502233049127,,,,,
"120",2008,"CHILLICOTHE R-II",1901,397,6,,220,171,,,,,,0.44191082239604,1.03606843033248,,,,,
"121",2008,"ATLANTA C-3",213,44,,,44,,,,,,,,1.01430165331169,,,,,
"122",2008,"FREDERICKTOWN R-I",1867,615,,,576,39,,,,,,,1.01967982053635,,,,,
"123",2008,"PALMYRA R-I",1140,89,,,89,,,,,,,,1.02976006590464,,,,,
"124",2008,"ELDON R-I",1862,1554,,,1449,92,13,,,,,,1.01342308802707,1.03277881055659,,,,
"125",2008,"SCHOOL OF THE OSAGE R-II",1829,517,22,,472,23,,,,,,2.5179403248143,1.01103147677998,,,,,
